"subject_id" "trial_number" "trial_id" "target_sentence" "target_side" "other_side" "trial_type" "date_stamp" "time_stamp" "side_chosen" "accuracy" "rt" "play_counter" "order" "sentence_type" "animacy" "version"
"1ebbSRddusMUfuZicVGxXhkbI" 1 "2poup" "Tigger_will_give_the_butterfly_to_the_zebra" "right" "left" "training" "7/1/2019" "10:43" "right" 1 17463.44 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 2 "9poup" "Dora_the_explorer_will_bring_the_cow_to_the_hippo" "right" "left" "training" "7/1/2019" "10:43" "right" 1 4641.44 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 3 "11poup" "Marshall_will_pass_the_goat_to_the_bee" "left" "right" "training" "7/1/2019" "10:43" "left" 1 1432.44 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 4 "5poup" "The_girl_will_pass_the_bird_to_the_sheep" "right" "left" "training" "7/1/2019" "10:43" "right" 1 6020.44 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 5 "4poup" "George_will_send_the_fox_to_the_donkey" "left" "right" "training" "7/1/2019" "10:43" "left" 1 1810.44 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 6 "7poup" "Bob_the_builder_will_throw_the_dog_to_the_penguin" "left" "right" "training" "7/1/2019" "10:43" "left" 1 3919.44 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 7 "1poup" "The_boy_will_throw_the_dinosaur_to_the_bear" "left" "right" "training" "7/1/2019" "10:43" "left" 1 993.440000000001 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 8 "3poup" "Rebecca_Rabbit_will_bring_the_frog_to_the_chicken" "right" "left" "training" "7/1/2019" "10:43" "right" 1 1247.44 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 9 "10poup" "Boots_will_send_the_pig_to_the_caterpillar" "left" "right" "training" "7/1/2019" "10:43" "left" 1 5982.44 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 10 "6poup" "Piglet_will_show_the_ant_to_the_fish" "left" "right" "training" "7/1/2019" "10:43" "left" 1 9198.44 1 "Pre" "PO" "NonPred" "Old"
